2	1	10	10	1	0	1	0
1	1	0.5	-0.5	0	1	0	0
2	2	10	-10	1	0	2	0
2	3	10	-10	1	0	0	0
2	4	8	-8	1	0	1	0
2	5	8	8	1	0	2	0
1	2	1.5	1.5	1	1	1	0
1	3	1.5	-1.5	0	1	0	0
2	6	8	-8	1	0	0	0
1	4	2.5	2.5	1	1	1	0
2	7	6	6	1	0	1	0
2	8	6	-6	0	0	0	1
2	9	8	-8	1	1	1	1
1	5	2.5	-2.5	0	1	0	0
1	6	3.5	-3.5	0	1	0	0
1	7	4.5	-4.5	0	1	0	0
1	8	5.5	5.5	1	1	1	0
2	10	8	-8	0	1	0	1
2	11	10	10	1	1	1	1
2	12	10	10	1	1	2	1
1	9	5.5	-5.5	1	1	2	0
1	10	5.5	5.5	1	1	0	1
2	13	10	10	1	1	0	2
1	11	3.5	-3.5	0	0	0	2
2	14	8	-8	1	0	1	2
2	15	8	8	1	0	2	2
1	12	4.5	-4.5	0	1	0	2
2	16	8	8	1	0	0	2
2	17	6	6	1	0	1	2
2	18	6	6	1	0	2	2
2	19	6	6	1	0	0	2
2	20	4	-4	1	0	1	2
2	21	4	4	1	0	2	2
2	22	4	-4	1	0	0	2
2	23	3	3	1	0	1	2
1	13	5.5	-5.5	1	1	1	2
1	14	5.5	5.5	1	1	2	2
2	24	3	3	1	0	2	2
2	25	3	3	1	0	0	2
1	15	5.5	-5.5	1	1	0	3
2	26	2	2	1	0	1	2
2	27	2	-2	1	0	2	2
2	28	2	2	1	0	0	2
1	16	3.5	-3.5	1	0	1	3
2	29	1	-1	1	0	1	2
2	30	1	-1	1	0	2	2
2	31	1	-1	1	0	0	2
2	32	0.5	0.5	0	0	0	3
1	17	3.5	-3.5	1	0	2	3
2	33	1.5	1.5	1	1	1	3
1	18	3.5	-3.5	1	0	0	3
1	19	2.5	2.5	1	0	1	3
2	34	1.5	1.5	1	1	2	3
2	35	1.5	-1.5	0	1	0	3
2	36	2.5	2.5	1	1	1	3
1	20	2.5	2.5	1	0	2	3
2	37	2.5	2.5	1	1	2	3
1	21	2.5	-2.5	1	0	0	3
2	38	2.5	-2.5	1	1	0	4
2	39	1.5	-1.5	1	0	1	4
2	40	1.5	1.5	1	0	2	4
1	22	1.5	1.5	1	0	1	3
1	23	1.5	1.5	1	0	2	3
1	24	1.5	-1.5	1	0	0	3
2	41	1.5	1.5	1	0	0	4
2	42	0.5	0.5	1	0	1	4
2	43	0.5	0.5	0	0	0	5
2	44	1.5	-1.5	0	1	0	5
2	45	2.5	-2.5	0	1	0	5
1	25	0.5	-0.5	1	0	1	3
2	46	3.5	3.5	1	1	1	5
1	26	0.5	0.5	0	0	0	4
1	27	1.5	-1.5	1	1	1	4
2	47	3.5	3.5	1	1	2	5
2	48	3.5	3.5	1	1	0	6
2	49	2.5	-2.5	0	0	0	7
1	28	1.5	-1.5	1	1	2	4
2	50	3.5	3.5	1	1	1	7
2	51	3.5	3.5	1	1	2	7
1	29	1.5	-1.5	0	1	0	4
1	30	2.5	2.5	1	1	1	4
1	31	2.5	2.5	1	1	2	4
2	52	3.5	3.5	1	1	0	8
1	32	2.5	-2.5	0	1	0	4
2	53	2.5	-2.5	0	0	0	9
2	54	3.5	-3.5	1	1	1	9
1	33	3.5	3.5	1	1	1	4
1	34	3.5	3.5	1	1	2	4
2	55	3.5	3.5	1	1	2	9
2	56	3.5	-3.5	0	1	0	9
2	57	4.5	4.5	1	1	1	9
2	58	4.5	-4.5	1	1	2	9
1	35	3.5	-3.5	1	1	0	5
1	36	2.5	2.5	1	0	1	5
2	59	4.5	4.5	1	1	0	10
2	60	3.5	3.5	1	0	1	10
2	61	3.5	3.5	1	0	2	10
1	37	2.5	2.5	1	0	2	5
2	62	3.5	-3.5	0	0	0	11
1	38	2.5	2.5	1	0	0	5
1	39	1.5	1.5	1	0	1	5
1	40	1.5	1.5	1	0	2	5
2	63	4.5	4.5	1	1	1	11
1	41	1.5	1.5	1	0	0	5
1	42	0.5	0.5	1	0	1	5
1	43	0.5	0.5	1	0	2	5
1	44	0.5	-0.5	0	0	0	6
2	64	4.5	-4.5	1	1	2	11
2	65	4.5	4.5	1	1	0	12
1	45	1.5	-1.5	1	1	1	6
1	46	1.5	1.5	1	1	2	6
2	66	3.5	-3.5	1	0	1	12
2	67	3.5	-3.5	1	0	2	12
2	68	3.5	-3.5	1	0	0	12
2	69	2.5	2.5	1	0	1	12
1	47	1.5	-1.5	0	1	0	6
2	70	2.5	2.5	1	0	2	12
1	48	2.5	-2.5	1	1	1	6
1	49	2.5	-2.5	1	1	2	6
1	50	2.5	2.5	1	1	0	7
1	51	1.5	1.5	1	0	1	7
1	52	1.5	1.5	1	0	2	7
1	53	1.5	-1.5	1	0	0	7
1	54	0.5	-0.5	0	0	0	8
2	71	2.5	-2.5	0	0	0	13
1	55	1.5	-1.5	0	1	0	8
1	56	2.5	2.5	1	1	1	8
2	72	3.5	-3.5	1	1	1	13
2	73	3.5	-3.5	1	1	2	13
2	74	3.5	3.5	1	1	0	14
2	75	2.5	2.5	1	0	1	14
2	76	2.5	-2.5	0	0	0	15
2	77	3.5	-3.5	1	1	1	15
2	78	3.5	-3.5	1	1	2	15
1	57	2.5	2.5	1	1	2	8
1	58	2.5	2.5	1	1	0	9
1	59	1.5	1.5	1	0	1	9
1	60	1.5	1.5	1	0	2	9
2	79	3.5	3.5	0	1	0	15
1	61	1.5	-1.5	1	0	0	9
1	62	0.5	0.5	1	0	1	9
2	80	4.5	-4.5	1	1	1	15
1	63	0.5	-0.5	0	0	0	10
