0.37526	544.38	1194.4	535.19	1203.4	12.867	1.6911	14.938	12.968	1.7292	16.584	683
0.38163	544.39	1194.4	535.19	1203.4	12.867	1.6911	14.938	12.968	1.7292	16.584	684
0.38799	544.36	1194.4	535.16	1203.5	12.867	1.6912	14.938	12.968	1.7299	16.584	686
0.40717	544.36	1194.5	535.16	1203.5	12.867	1.6916	14.938	12.968	1.73	16.584	690
0.41411	544.39	1194.5	535.15	1203.4	12.867	1.6915	14.938	12.968	1.729	16.584	692
0.42048	544.41	1194.4	535.17	1203.5	12.867	1.6912	14.938	12.968	1.7297	16.584	694
0.42684	544.39	1194.4	535.17	1203.5	12.867	1.6911	14.938	12.968	1.7297	16.584	695
0.43321	544.37	1194.4	535.16	1203.5	12.867	1.6911	14.938	12.968	1.7296	16.584	697
0.43957	544.39	1194.4	535.15	1203.5	12.867	1.6912	14.938	12.968	1.7296	16.584	698
0.44594	544.38	1194.5	535.18	1203.4	12.867	1.6916	14.938	12.968	1.7291	16.584	700
0.4523	544.39	1194.5	535.16	1203.5	12.867	1.6922	14.937	12.968	1.7296	16.584	701
0.45866	544.4	1194.6	535.17	1203.5	12.867	1.6934	14.937	12.968	1.7295	16.584	703
0.46503	544.36	1194.5	535.15	1203.4	12.867	1.6925	14.938	12.968	1.7292	16.585	704
0.47139	544.33	1194.5	535.14	1203.5	12.866	1.6926	14.938	12.968	1.73	16.585	706
0.47775	544.35	1194.5	535.15	1203.5	12.867	1.6921	14.938	12.968	1.7301	16.584	707
0.48412	544.36	1194.4	535.17	1203.5	12.867	1.6913	14.938	12.968	1.7304	16.584	709
0.67425	544.46	1194.2	535.24	1203.4	12.868	1.6881	14.938	12.969	1.7285	16.585	754
0.68135	544.5	1194.2	535.22	1203.4	12.868	1.6879	14.938	12.969	1.7286	16.585	756
0.68772	544.44	1194.2	535.24	1203.3	12.868	1.6881	14.938	12.969	1.7277	16.585	758
0.69408	544.43	1194.1	535.22	1203.3	12.868	1.6873	14.939	12.969	1.728	16.585	759
0.70045	544.41	1194.2	535.25	1203.4	12.867	1.6883	14.939	12.969	1.7286	16.585	761
0.70682	544.43	1194.2	535.26	1203.4	12.868	1.688	14.938	12.969	1.7282	16.585	762
0.71319	544.38	1194.2	535.25	1203.4	12.867	1.688	14.939	12.969	1.7283	16.586	764
0.71956	544.37	1194.2	535.28	1203.4	12.867	1.6883	14.939	12.969	1.7288	16.585	765
0.72593	544.4	1194.2	535.28	1203.4	12.867	1.688	14.939	12.969	1.7287	16.585	767
0.73229	544.37	1194.2	535.27	1203.5	12.867	1.688	14.939	12.969	1.7294	16.585	768
0.73869	544.4	1194.2	535.27	1203.4	12.867	1.6885	14.939	12.969	1.7291	16.585	770
0.74505	544.41	1194.2	535.24	1203.5	12.867	1.6882	14.939	12.969	1.7296	16.585	772
