1	1	0.5	0.5	1	1	1	0
1	2	0.5	0.5	1	1	2	0
2	1	10	10	1	0	1	0
1	3	0.5	0.5	1	1	0	1
1	4	0.5	0.5	1	0	1	1
1	5	0.5	0.5	1	0	2	1
2	2	10	10	1	0	2	0
2	3	10	-10	1	0	0	0
1	6	0.5	0.5	1	0	0	1
2	4	9	-9	1	0	1	0
2	5	9	-9	1	0	2	0
1	7	0.5	0.5	1	0	1	1
2	6	9	9	1	0	0	0
1	8	0.5	0.5	1	0	2	1
2	7	8	-8	1	0	1	0
2	8	8	-8	1	0	2	0
2	9	8	8	1	0	0	0
2	10	7	7	1	0	1	0
2	11	7	7	1	0	2	0
2	12	7	-7	1	0	0	0
1	9	0.5	0.5	1	0	0	1
1	10	0.5	0.5	1	0	1	1
2	13	6	-6	1	0	1	0
1	11	0.5	-0.5	0	0	0	2
2	14	6	6	1	0	2	0
1	12	1	-1	0	1	0	2
1	13	1.5	-1.5	0	1	0	2
1	14	2	-2	1	1	1	2
2	15	6	-6	1	0	0	0
1	15	2	-2	1	1	2	2
1	16	2	-2	0	1	0	2
1	17	2.5	-2.5	0	1	0	2
1	18	3	-3	0	1	0	2
2	16	5	-5	1	0	1	0
2	17	5	-5	1	0	2	0
2	18	5	5	1	0	0	0
1	19	3.5	-3.5	0	1	0	2
1	20	4	4	1	1	1	2
1	21	4	4	1	1	2	2
1	22	4	-4	1	1	0	3
2	19	4.5	-4.5	1	0	1	0
2	20	4.5	4.5	1	0	2	0
2	21	4.5	-4.5	0	0	0	1
1	23	3.5	3.5	1	0	1	3
1	24	3.5	-3.5	0	0	0	4
1	25	4	-4	1	1	1	4
2	22	5	5	1	1	1	1
1	26	4	4	1	1	2	4
1	27	4	4	1	1	0	5
2	23	5	-5	0	1	0	1
2	24	5.5	5.5	1	1	1	1
2	25	5.5	-5.5	1	1	2	1
1	28	3.5	-3.5	0	0	0	6
2	26	5.5	-5.5	1	1	0	2
1	29	4	-4	0	1	0	6
2	27	4.5	-4.5	1	0	1	2
2	28	4.5	-4.5	1	0	2	2
2	29	4.5	-4.5	1	0	0	2
1	30	4.5	-4.5	1	1	1	6
2	30	4	-4	1	0	1	2
1	31	4.5	-4.5	1	1	2	6
1	32	4.5	4.5	1	1	0	7
2	31	4	4	1	0	2	2
2	32	4	4	1	0	0	2
2	33	3.5	3.5	1	0	1	2
1	33	4	4	1	0	1	7
2	34	3.5	3.5	1	0	2	2
2	35	3.5	3.5	1	0	0	2
1	34	4	4	1	0	2	7
1	35	4	-4	0	0	0	8
2	36	3	3	1	0	1	2
2	37	3	3	1	0	2	2
1	36	4.5	-4.5	1	1	1	8
1	37	4.5	-4.5	1	1	2	8
1	38	4.5	4.5	1	1	0	9
1	39	4	4	1	0	1	9
1	40	4	4	1	0	2	9
2	38	3	3	1	0	0	2
2	39	2.5	2.5	1	0	1	2
2	40	2.5	2.5	1	0	2	2
2	41	2.5	2.5	1	0	0	2
1	41	4	-4	0	0	0	10
1	42	4.5	4.5	1	1	1	10
1	43	4.5	4.5	1	1	2	10
2	42	2	2	1	0	1	2
1	44	4.5	4.5	1	1	0	11
2	43	2	-2	1	0	2	2
2	44	2	2	1	0	0	2
1	45	4	4	1	0	1	11
1	46	4	4	1	0	2	11
2	45	1.5	1.5	0	0	0	3
2	46	2	2	1	1	1	3
2	47	2	-2	0	1	0	3
1	47	4	4	1	0	0	11
1	48	3.5	-3.5	1	0	1	11
2	48	2.5	-2.5	1	1	1	3
2	49	2.5	2.5	0	1	0	3
2	50	3	3	1	1	1	3
1	49	3.5	-3.5	1	0	2	11
2	51	3	3	1	1	2	3
2	52	3	-3	1	1	0	4
2	53	2.5	-2.5	1	0	1	4
2	54	2.5	2.5	1	0	2	4
2	55	2.5	-2.5	0	0	0	5
2	56	3	-3	1	1	1	5
2	57	3	-3	0	1	0	5
1	50	3.5	3.5	1	0	0	11
2	58	3.5	-3.5	1	1	1	5
2	59	3.5	-3.5	1	1	2	5
2	60	3.5	3.5	1	1	0	6
2	61	3	3	1	0	1	6
2	62	3	-3	1	0	2	6
1	51	3	-3	1	0	1	11
2	63	3	-3	1	0	0	6
1	52	3	-3	1	0	2	11
1	53	3	-3	1	0	0	11
1	54	2.5	-2.5	1	0	1	11
2	64	2.5	-2.5	1	0	1	6
1	55	2.5	-2.5	1	0	2	11
1	56	2.5	-2.5	1	0	0	11
2	65	2.5	2.5	1	0	2	6
2	66	2.5	-2.5	1	0	0	6
1	57	2	2	1	0	1	11
2	67	2	2	1	0	1	6
2	68	2	2	0	0	0	7
2	69	2.5	2.5	0	1	0	7
2	70	3	3	0	1	0	7
2	71	3.5	-3.5	1	1	1	7
2	72	3.5	3.5	1	1	2	7
2	73	3.5	-3.5	1	1	0	8
2	74	3	-3	1	0	1	8
1	58	2	2	1	0	2	11
2	75	3	-3	1	0	2	8
2	76	3	-3	1	0	0	8
2	77	2.5	-2.5	1	0	1	8
1	59	2	2	1	0	0	11
2	78	2.5	-2.5	0	0	0	9
1	60	1.5	-1.5	0	0	0	12
2	79	3	-3	1	1	1	9
2	80	3	3	1	1	2	9
1	61	2	-2	1	1	1	12
1	62	2	-2	1	1	2	12
2	81	3	-3	1	1	0	10
