1	1	0.5	-0.5	1	1	1	0
1	2	0.5	-0.5	0	1	0	0
1	3	1	-1	1	1	1	0
2	1	10	-10	1	0	1	0
2	2	10	10	1	0	2	0
2	3	10	-10	1	0	0	0
1	4	1	1	1	1	2	0
1	5	1	1	1	1	0	1
2	4	9	-9	1	0	1	0
2	5	9	9	1	0	2	0
2	6	9	-9	0	0	0	1
1	6	0.5	0.5	1	0	1	1
1	7	0.5	-0.5	0	0	0	2
1	8	1	1	1	1	1	2
2	7	10	-10	1	1	1	1
2	8	10	-10	1	1	2	1
1	9	1	1	1	1	2	2
2	9	10	10	1	1	0	2
2	10	9	-9	1	0	1	2
2	11	9	9	1	0	2	2
2	12	9	-9	1	0	0	2
2	13	8	8	1	0	1	2
1	10	1	1	1	1	0	3
1	11	0.5	-0.5	0	0	0	4
2	14	8	8	1	0	2	2
1	12	1	-1	0	1	0	4
2	15	8	8	1	0	0	2
1	13	1.5	-1.5	1	1	1	4
1	14	1.5	-1.5	0	1	0	4
1	15	2	-2	1	1	1	4
1	16	2	2	1	1	2	4
2	16	7	7	1	0	1	2
1	17	2	2	1	1	0	5
1	18	1.5	-1.5	1	0	1	5
2	17	7	7	1	0	2	2
2	18	7	7	1	0	0	2
2	19	6	-6	1	0	1	2
1	19	1.5	-1.5	0	0	0	6
2	20	6	-6	1	0	2	2
1	20	2	-2	0	1	0	6
2	21	6	6	1	0	0	2
2	22	5	-5	1	0	1	2
1	21	2.5	2.5	1	1	1	6
2	23	5	-5	1	0	2	2
1	22	2.5	2.5	1	1	2	6
2	24	5	-5	1	0	0	2
1	23	2.5	-2.5	0	1	0	6
2	25	4.5	-4.5	1	0	1	2
1	24	3	-3	0	1	0	6
2	26	4.5	4.5	1	0	2	2
2	27	4.5	4.5	1	0	0	2
2	28	4	-4	1	0	1	2
2	29	4	4	1	0	2	2
1	25	3.5	-3.5	1	1	1	6
1	26	3.5	3.5	1	1	2	6
1	27	3.5	-3.5	0	1	0	6
1	28	4	4	1	1	1	6
1	29	4	-4	1	1	2	6
1	30	4	-4	1	1	0	7
1	31	3.5	3.5	1	0	1	7
2	30	4	-4	1	0	0	2
1	32	3.5	3.5	1	0	2	7
2	31	3.5	3.5	1	0	1	2
2	32	3.5	-3.5	1	0	2	2
2	33	3.5	3.5	1	0	0	2
2	34	3	3	1	0	1	2
2	35	3	-3	1	0	2	2
2	36	3	-3	1	0	0	2
1	33	3.5	-3.5	1	0	0	7
2	37	2.5	2.5	1	0	1	2
1	34	3	-3	1	0	1	7
2	38	2.5	2.5	1	0	2	2
1	35	3	-3	1	0	2	7
1	36	3	-3	1	0	0	7
2	39	2.5	2.5	1	0	0	2
1	37	2.5	2.5	0	0	0	8
1	38	3	3	1	1	1	8
2	40	2	-2	1	0	1	2
2	41	2	2	0	0	0	3
1	39	3	-3	1	1	2	8
1	40	3	3	1	1	0	9
1	41	2.5	2.5	0	0	0	10
1	42	3	-3	1	1	1	10
2	42	2.5	-2.5	1	1	1	3
2	43	2.5	-2.5	1	1	2	3
2	44	2.5	-2.5	1	1	0	4
1	43	3	3	1	1	2	10
2	45	2	-2	1	0	1	4
2	46	2	-2	1	0	2	4
1	44	3	-3	1	1	0	11
2	47	2	-2	0	0	0	5
1	45	2.5	-2.5	1	0	1	11
1	46	2.5	-2.5	1	0	2	11
2	48	2.5	2.5	1	1	1	5
2	49	2.5	2.5	1	1	2	5
2	50	2.5	2.5	1	1	0	6
2	51	2	2	1	0	1	6
1	47	2.5	-2.5	1	0	0	11
1	48	2	-2	1	0	1	11
1	49	2	2	1	0	2	11
2	52	2	2	1	0	2	6
1	50	2	2	0	0	0	12
1	51	2.5	-2.5	1	1	1	12
2	53	2	2	1	0	0	6
1	52	2.5	2.5	0	1	0	12
2	54	1.5	1.5	1	0	1	6
1	53	3	3	1	1	1	12
1	54	3	3	1	1	2	12
1	55	3	-3	1	1	0	13
2	55	1.5	1.5	1	0	2	6
1	56	2.5	-2.5	1	0	1	13
1	57	2.5	2.5	1	0	2	13
1	58	2.5	2.5	1	0	0	13
2	56	1.5	-1.5	1	0	0	6
1	59	2	2	1	0	1	13
2	57	1	1	1	0	1	6
1	60	2	2	1	0	2	13
2	58	1	-1	1	0	2	6
2	59	1	-1	0	0	0	7
1	61	2	-2	1	0	0	13
2	60	1.5	-1.5	0	1	0	7
1	62	1.5	1.5	1	0	1	13
2	61	2	-2	1	1	1	7
1	63	1.5	1.5	1	0	2	13
1	64	1.5	1.5	1	0	0	13
1	65	1	1	1	0	1	13
2	62	2	-2	1	1	2	7
2	63	2	-2	1	1	0	8
1	66	1	-1	1	0	2	13
1	67	1	1	1	0	0	13
2	64	1.5	1.5	1	0	1	8
2	65	1.5	-1.5	1	0	2	8
1	68	0.5	0.5	1	0	1	13
2	66	1.5	1.5	1	0	0	8
2	67	1	1	0	0	0	9
1	69	0.5	0.5	1	0	2	13
1	70	0.5	0.5	1	0	0	13
2	68	1.5	-1.5	1	1	1	9
2	69	1.5	1.5	1	1	2	9
2	70	1.5	1.5	1	1	0	10
